sub,raw_fs,raw_rest1,raw_rest2,cifti_fs,cifti_rest1,cifti_rest2,useable,processed,pfm
001,1,1,1,1,1,1,1,1,1
002,1,1,1,1,1,1,1,1,1
003,1,1,1,1,1,1,1,1,1
004,1,1,1,1,1,1,1,1,1
005,1,1,1,1,1,1,1,1,1
007,1,1,1,1,1,1,1,1,1
008,1,1,1,1,1,1,1,1,1
009,1,1,1,1,1,1,1,1,1
010,1,1,1,1,1,1,1,1,1
011,1,1,1,1,1,1,1,1,1
012,1,1,1,1,1,1,1,1,1
013,1,1,1,1,1,1,1,1,1
014,1,1,1,1,1,1,1,1,1
017,1,0,0,0,0,0,0,0,0
018,1,1,1,1,1,1,1,1,1
019,1,0,1,1,0,1,1,1,0
020,1,1,1,1,1,1,1,1,1
021,1,1,1,1,1,1,1,1,1
022,1,1,1,1,1,1,1,1,1
023,1,1,1,1,1,1,1,1,1
024,1,1,1,1,1,1,1,1,1
026,1,1,1,1,1,1,1,1,1
027,1,1,1,1,1,1,1,1,1
029,1,1,1,1,1,1,1,1,1
030,1,1,1,1,1,1,1,1,1
032,1,1,1,1,1,1,1,1,1
033,1,1,1,1,1,1,1,1,1
034,1,1,1,1,1,1,1,1,1
035,1,1,1,1,1,1,1,1,1
036,1,0,0,0,0,0,0,0,0
037,1,1,1,1,1,1,1,1,1
039,1,1,1,1,1,1,1,1,1
040,1,0,1,1,0,1,1,1,0
042,1,1,1,1,1,1,1,1,1
043,1,1,1,1,1,1,1,1,1
044,1,1,1,1,1,1,1,1,1
048,1,1,1,1,1,1,1,1,1
049,1,1,1,1,1,1,1,1,1
050,1,1,1,1,1,1,1,1,1
061,1,1,1,1,1,1,1,1,1
064,1,1,0,1,1,0,1,1,1
065,1,1,1,1,1,1,1,1,1
066,1,1,1,1,1,1,1,1,1
067,1,1,1,1,1,1,1,1,1
070,1,1,1,1,1,1,1,1,1
074,1,1,1,1,1,1,1,1,1
078,1,1,1,1,1,1,1,1,1
083,1,1,1,1,1,1,1,1,1
084,1,1,1,1,1,1,1,1,1
085,1,1,1,1,1,1,1,1,1
086,1,1,1,1,1,1,1,1,1
087,1,1,1,1,1,1,1,1,1
088,1,1,1,1,1,1,1,1,1
092,1,1,1,1,1,1,1,1,1
095,1,1,1,1,1,1,1,1,1
097,1,1,1,1,1,1,1,1,1
098,1,0,0,0,0,0,0,0,0
100,1,1,1,1,1,1,1,1,1
14006,1,1,1,1,1,1,1,1,1
14008,1,1,0,1,1,0,1,1,1
14011,1,1,1,1,1,1,1,1,1
14013,1,0,1,1,0,1,1,1,0
14017,1,1,1,1,1,1,1,1,1
14027,1,1,1,1,1,1,1,1,1
14031,1,1,1,1,1,1,1,1,1
14041,1,1,1,1,1,1,1,1,1
14044,1,0,0,0,0,0,0,0,0
14054,1,1,1,1,1,1,1,1,1
14057,1,1,1,1,1,1,1,1,1
14063,1,0,0,0,0,0,0,0,0
14064,1,1,1,1,1,1,1,1,1
14076,1,1,1,1,1,1,1,1,1
14079,1,1,1,1,1,1,1,1,1
14080,1,1,1,1,1,1,1,1,1
14083,1,1,1,1,1,1,1,1,1
14087,1,1,1,1,1,1,1,1,1
14092,1,0,0,0,0,0,0,0,0
14094,1,1,1,1,1,1,1,1,1
14098,1,1,1,1,1,1,1,1,1
14099,1,0,0,0,0,0,0,0,0
14101,1,0,0,0,0,0,0,0,0
14110,1,1,1,1,1,1,1,1,1
14112,1,1,1,1,1,1,1,1,1
14115,1,1,1,1,1,1,1,1,1
14118,1,1,1,1,1,1,1,1,1
14120,1,1,1,1,1,1,1,1,1
14125,1,0,0,0,0,0,0,0,0
14129,1,1,1,1,1,1,1,1,1
14132,1,1,1,1,1,1,1,1,1
14134,1,0,0,0,0,0,0,0,0
14136,1,1,1,1,1,1,1,1,1
14137,1,1,1,1,1,1,1,1,1
14145,1,1,1,1,1,1,1,1,1
14148,1,1,1,1,1,1,1,1,1
14164,1,1,1,1,1,1,1,1,1
14168,1,1,1,1,1,1,1,1,1
14171,1,1,1,1,1,1,1,1,1
14172,1,0,1,1,0,1,1,1,0
14174,1,0,0,0,0,0,0,0,0
14180,1,1,1,1,1,1,1,1,1
14181,1,1,1,1,1,1,1,1,1
14185,1,1,1,1,1,1,1,1,1
14187,1,1,1,1,1,1,1,1,1
14202,1,0,0,0,0,0,0,0,0
14205,1,1,1,1,1,1,1,1,1
14206,1,1,1,1,1,1,1,1,1
14210,1,1,0,1,1,0,1,1,1
14211,1,1,1,1,1,1,1,1,1
14213,1,1,1,1,1,1,1,1,1
14226,1,1,1,1,1,1,1,1,1
14236,1,1,1,1,1,1,1,1,1
14241,1,1,1,1,1,1,1,1,1
14245,1,1,1,1,1,1,1,1,1
14249,1,1,1,1,1,1,1,1,1
14251,1,1,1,1,1,1,1,1,1
14255,1,1,1,1,1,1,1,1,1
14265,1,0,0,0,0,0,0,0,0
14284,1,1,1,1,1,1,1,1,1
14285,1,1,1,1,1,1,1,1,1
14294,1,1,1,1,1,1,1,1,1
14295,1,1,1,1,1,1,1,1,1
14303,1,1,1,1,1,1,1,1,1
14312,1,1,1,1,1,1,1,1,1
14316,1,1,1,1,1,1,1,1,1
14319,1,1,1,1,1,1,1,1,1
14322,1,0,0,0,0,0,0,0,0
14328,1,1,1,1,1,1,1,1,1
14333,1,1,1,1,1,1,1,1,1
14336,0,1,1,0,0,0,0,0,0
14338,0,1,1,0,0,0,0,0,0
14343,0,1,1,0,0,0,0,0,0
14344,0,1,1,0,0,0,0,0,0
14346,0,1,1,0,0,0,0,0,0
14357,0,1,1,0,0,0,0,0,0
14371,0,1,1,0,0,0,0,0,0
14378,0,1,1,0,0,0,0,0,0
14382,0,1,1,0,0,0,0,0,0
14387,0,1,1,0,0,0,0,0,0
14390,0,1,1,0,0,0,0,0,0
14403,0,1,1,0,0,0,0,0,0
14404,0,0,1,0,0,0,0,0,0
14417,0,0,1,0,0,0,0,0,0
14421,0,1,1,0,0,0,0,0,0
14424,0,1,1,0,0,0,0,0,0
14430,0,1,1,0,0,0,0,0,0
14451,0,1,1,0,0,0,0,0,0
14452,0,1,1,0,0,0,0,0,0
14460,0,1,1,0,0,0,0,0,0
14462,0,1,1,0,0,0,0,0,0
14467,0,1,1,0,0,0,0,0,0
14468,0,1,1,0,0,0,0,0,0
14475,0,1,1,0,0,0,0,0,0
14479,0,1,1,0,0,0,0,0,0
14480,0,1,1,0,0,0,0,0,0
14481,0,1,1,0,0,0,0,0,0
14491,0,1,1,0,0,0,0,0,0
27999,1,1,1,1,1,1,1,1,1
28001,1,1,1,1,1,1,1,1,1
28003,1,1,1,1,1,1,1,1,1
28004,1,1,1,1,1,1,1,1,1
28034,1,1,1,1,1,1,1,1,1
28043,1,1,1,1,1,1,1,1,1
28096,1,1,1,1,1,1,1,1,1
28129,1,1,1,1,1,1,1,1,1
28132,1,1,1,1,1,1,1,1,1
28146,1,1,1,1,1,1,1,1,1
28167,1,1,1,1,1,1,1,1,1
28176,1,1,1,1,1,1,1,1,1
28177,1,1,1,1,1,1,1,1,1
28178,1,1,1,1,1,1,1,1,1
28265,1,1,1,1,1,1,1,1,1
28275,1,1,1,1,1,1,1,1,1
28279,1,1,1,1,1,1,1,1,1
28280,1,1,1,1,1,1,1,1,1
28281,1,1,1,1,1,1,1,1,1
28282,1,1,1,1,1,1,1,1,1
28284,1,1,1,1,1,1,1,1,1
28289,1,1,1,1,1,1,1,1,1
28291,1,1,1,1,1,1,1,1,1
28292,1,1,1,1,1,1,1,1,1
28297,1,1,1,1,1,1,1,1,1
28299,1,1,1,1,1,1,1,1,1
28307,1,1,1,1,1,1,1,1,1
28308,1,1,1,1,1,1,1,1,1
28312,1,1,1,1,1,1,1,1,1
28315,1,1,1,1,1,1,1,1,1
28318,1,1,1,1,1,1,1,1,1
28320,1,1,1,1,1,1,1,1,1
28323,1,1,1,1,1,1,1,1,1
28326,1,1,0,1,1,0,1,1,1
28330,1,1,1,1,1,1,1,1,1
28331,1,1,1,1,1,1,1,1,1
28332,1,1,1,1,1,1,1,1,1
28334,1,1,1,1,1,1,1,1,1
28335,1,1,1,1,1,1,1,1,1
28339,1,1,1,1,1,1,1,1,1
28346,1,1,1,1,1,1,1,1,1
28348,1,1,1,1,1,1,1,1,1
28349,1,1,1,1,1,1,1,1,1
28354,1,1,1,1,1,1,1,1,1
28356,1,1,1,1,1,1,1,1,1
28360,1,1,1,1,1,1,1,1,1
28367,1,1,0,1,1,0,1,1,1
28368,1,1,1,1,1,1,1,1,1
28371,1,1,1,1,1,1,1,1,1
28376,1,1,1,1,1,1,1,1,1
28391,1,1,1,1,1,1,1,1,1
28397,1,1,1,1,1,1,1,1,1
28402,1,1,1,1,1,1,1,1,1
28409,1,1,1,1,1,1,1,1,1
28410,1,1,1,1,1,1,1,1,1
28412,1,1,1,1,1,1,1,1,1
28413,1,1,0,1,1,0,1,1,1
28417,1,1,1,1,1,1,1,1,1
28419,1,1,1,1,1,1,1,1,1
28421,1,0,0,0,0,0,0,0,0
